"name","ns_id","lang"
The association of Albania,1,1
La asociación de Albania,1,2
L’association de Albanie,1,3
The association of Algeria,2,1
La asociación de Argelia,2,2
L’association de Algérie,2,3
The association of Argentina,3,1
La asociación de Argentina,3,2
L’association de Argentine,3,3
The association of Austria,4,1
La asociación de Austria,4,2
L’association de Autriche,4,3
The association of Belgium,5,1
La asociación de Bélgica,5,2
L’association de Belgique,5,3
The association of Benin,6,1
La asociación de Benín,6,2
L’association de Bénin,6,3
The association of Bolivia,7,1
La asociación de Bolivia,7,2
L’association de Bolivie,7,3
The association of Bosnia and Herzegovina,8,1
La asociación de Bosnia y Herzegovina,8,2
L’association de Bosnie-Herzégovine,8,3
The association of Brazil,9,1
La asociación de Brasil,9,2
L’association de Brésil,9,3
The association of Bulgaria,10,1
La asociación de Bulgaria,10,2
L’association de Bulgarie,10,3
The association of Canada,11,1
La asociación de Canadá,11,2
L’association de Canada,11,3
The association of Chile,12,1
La asociación de Chile,12,2
L’association de Chili,12,3
The association of China,13,1
La asociación de China,13,2
L’association de Chine,13,3
The association of Chinese Taipei,14,1
La asociación de Taipéi Chino,14,2
L’association de Taipei chinois,14,3
The association of Comoros,15,1
La asociación de Comoras,15,2
L’association de Comores,15,3
The association of Costa Rica,16,1
La asociación de Costa Rica,16,2
L’association de Costa Rica,16,3
The association of Croatia,17,1
La asociación de Croacia,17,2
L’association de Croatie,17,3
The association of Czech Republic,18,1
La asociación de República Checa,18,2
L’association de République tchèque,18,3
The association of Ecuador,19,1
La asociación de Ecuador,19,2
L’association de Équateur,19,3
The association of Estonia,20,1
La asociación de Estonia,20,2
L’association de Estonie,20,3
The association of France,21,1
La asociación de Francia,21,2
L’association de France,21,3
The association of Georgia,22,1
La asociación de Georgia,22,2
L’association de Géorgie,22,3
The association of Germany,23,1
La asociación de Alemania,23,2
L’association de Allemagne,23,3
The association of Ghana,24,1
La asociación de Ghana,24,2
L’association de Ghana,24,3
The association of Greece,25,1
La asociación de Grecia,25,2
L’association de Grèce,25,3
The association of Guatemala,26,1
La asociación de Guatemala,26,2
L’association de Guatemala,26,3
The association of Honduras,27,1
La asociación de Honduras,27,2
L’association de Honduras,27,3
The association of Hungary,28,1
La asociación de Hungría,28,2
L’association de Hongrie,28,3
The association of India,29,1
La asociación de India,29,2
L’association de Inde,29,3
The association of Indonesia,30,1
La asociación de Indonesia,30,2
L’association de Indonésie,30,3
The association of Israel,31,1
La asociación de Israel,31,2
L’association de Israël,31,3
The association of Italy,32,1
La asociación de Italia,32,2
L’association de Italie,32,3
The association of Japan,33,1
La asociación de Japón,33,2
L’association de Japon,33,3
The association of AKV Kemajl Azizi,34,1
La asociación de AKV Kemajl Azizi,34,2
L’association de AKV Kemajl Azizi,34,3
The association of Kyrgyzstan,35,1
La asociación de Kirguistán,35,2
L’association de Kirghizistan,35,3
The association of Luxembourg,36,1
La asociación de Luxemburgo,36,2
L’association de Luxembourg,36,3
The association of Malawi,37,1
La asociación de Malaui,37,2
L’association de Malawi,37,3
The association of Malaysia,38,1
La asociación de Malasia,38,2
L’association de Malaisie,38,3
The association of Montenegro,39,1
La asociación de Montenegro,39,2
L’association de Monténégro,39,3
The association of Netherlands,40,1
La asociación de Países Bajos,40,2
L’association de Pays-Bas,40,3
The association of North Macedonia,41,1
La asociación de República de Macedonia,41,2
L’association de Macédoine du Nord,41,3
The association of Northern Cyprus,42,1
La asociación de Chipre del Norte,42,2
L’association de Chypre du Nord,42,3
The association of Panama,43,1
La asociación de Panamá,43,2
L’association de Panama,43,3
The association of Paraguay,44,1
La asociación de Paraguay,44,2
L’association de Paraguay,44,3
The association of Peru,45,1
La asociación de Perú,45,2
L’association de Pérou,45,3
The association of Poland,46,1
La asociación de Polonia,46,2
L’association de Pologne,46,3
The association of Portugal,47,1
La asociación de Portugal,47,2
L’association de Portugal,47,3
The association of Romania,48,1
La asociación de Rumanía,48,2
L’association de Roumanie,48,3
The association of Serbia,49,1
La asociación de Serbia,49,2
L’association de Serbie,49,3
The association of Sierra Leone,50,1
La asociación de Sierra Leona,50,2
L’association de Sierra Leone,50,3
The association of Slovakia,51,1
La asociación de Eslovaquia,51,2
L’association de Slovaquie,51,3
The association of Slovenia,52,1
La asociación de Eslovenia,52,2
L’association de Slovénie,52,3
The association of South Korea,53,1
La asociación de Corea del Sur,53,2
L’association de Corée du Sud,53,3
The association of South Africa,54,1
La asociación de República Sudafricana,54,2
L’association de Afrique du Sud,54,3
The association of Spain,55,1
La asociación de España,55,2
L’association de Espagne,55,3
The association of Switzerland,56,1
La asociación de Suiza,56,2
L’association de Suisse,56,3
The association of Thailand,57,1
La asociación de Tailandia,57,2
L’association de Thaïlande,57,3
The association of East Timor,58,1
La asociación de Timor Oriental,58,2
L’association de Timor-Oriental,58,3
The association of Togo,59,1
La asociación de Togo,59,2
L’association de Togo,59,3
The association of Turkey,60,1
La asociación de Turquía,60,2
L’association de Turquie,60,3
The association of United Kingdom,61,1
La asociación de Reino Unido,61,2
L’association de Royaume-Uni,61,3
The association of United States,62,1
La asociación de Estados Unidos,62,2
L’association de États-Unis,62,3
The association of Uzbekistan,63,1
La asociación de Uzbekistán,63,2
L’association de Ouzbékistan,63,3
The association of Colombia,64,1
La asociación de Colombia,64,2
L’association de Colombie,64,3
The association of Cyprus,65,1
La asociación de Chipre,65,2
L’association de Chypre,65,3
The association of Finland,66,1
La asociación de Finlandia,66,2
L’association de Finlande,66,3
The association of Mexico,67,1
La asociación de México,67,2
L’association de Mexique,67,3
The association of Nepal,68,1
La asociación de Nepal,68,2
L’association de Népal,68,3
The association of Tahiti,69,1
La asociación de Tahití,69,2
L’association de Tahiti,69,3
